Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.0079912917210265,1.5250606991021876e-05
164.52374695419385,-6.298659524655092,1.6345930848633596e-05
180.45375541231755,-6.617888936551967,1.755523124366746e-05
197.92618661593409,-6.968478085300816,1.888529852935013e-05
217.09038561605675,-7.353493898446881,2.030361995346443e-05
238.11015779522984,-7.776313040414586,2.188058386432512e-05
261.1651689888373,-8.240645626196349,2.352971639282898e-05
286.45248117312485,-8.75055169399876,2.532705147252119e-05
314.18823684618803,-9.31050386197576,2.7278175303166655e-05
344.60950649911035,-9.925402610433824,2.9376895106134858e-05
377.97631496846196,-10.600643431904366,3.1650760484244334e-05
414.57386399033265,-11.342148807077304,3.406687759203082e-05
454.71496995311946,-12.15641177827336,3.6690540799067884e-05
498.7427376856724,-13.050577740465144,3.953169335971012e-05
547.0334931349296,-14.032486814472723,4.261323822414307e-05
599.9999999999997,-15.110525083475526,4.637153651393609e-05
