Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.034769459449357,9.64233470552357e-07
164.52374695419385,-6.324211523617687,2.2120180599424903e-06
180.45375541231755,-6.642058278679943,3.837950419572608e-06
197.92618661593409,-6.991091210625401,5.362284152337055e-06
217.09038561605675,-7.3743710665849616,6.960078039768607e-06
238.11015779522984,-7.7952605581012,8.643236296045612e-06
261.1651689888373,-8.257443828917252,1.045578657483092e-05
286.45248117312485,-8.764971022337976,1.2440635289926296e-05
314.18823684618803,-9.322290239833675,1.4623492018828934e-05
344.60950649911035,-9.934287838004972,1.7080867069293608e-05
377.97631496846196,-10.606325084932955,1.976483664491246e-05
414.57386399033265,-11.344292614836798,2.2774535761991628e-05
454.71496995311946,-12.15464913046183,2.6138943542507166e-05
498.7427376856724,-13.044496617526182,2.9903269060012522e-05
547.0334931349296,-14.021638542167036,3.4072186070541375e-05
599.9999999999997,-15.094630029148439,3.872805153316487e-05
