Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.01787254695491,0
164.52374695419385,-6.307630441279257,0
180.45375541231755,-6.625823553194809,0
197.92618661593409,-6.975241858951662,0
217.09038561605675,-7.358949031241769,0
238.11015779522984,-7.780309284262425,0
261.1651689888373,-8.243016851400167,0
286.45248117312485,-8.751128353667223,0
314.18823684618803,-9.309098342329225,0
344.60950649911035,-9.921818326949463,0
377.97631496846196,-10.594659630585808,0
414.57386399033265,-11.333520447377076,0
454.71496995311946,-12.144877514540912,0
498.7427376856724,-13.035842851195046,0
547.0334931349296,-14.01422606076338,0
599.9999999999997,-15.088602742423838,0
