Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.0302688983025305,0
164.52374695419385,-6.320294905837534,0
180.45375541231755,-6.638782685714835,0
197.92618661593409,-6.988524842929092,0
217.09038561605675,-7.372587939020262,0
238.11015779522984,-7.794339362861438,0
261.1651689888373,-8.257476836610117,0
286.45248117312485,-8.766060815206318,0
314.18823684618803,-9.324550063132426,0
344.60950649911035,-9.937840719963377,0
377.97631496846196,-10.611309196776627,0
414.57386399033265,-11.350859279025066,0
454.71496995311946,-12.162973848297256,0
498.7427376856724,-13.054771675819133,0
547.0334931349296,-14.034069784944455,0
599.9999999999997,-15.109451928624729,0
