Temperature_K,FreeEnergy_eVperatom,Error_eVperatom
150.00000000000003,-6.018308254616668,1.1553963453026483e-05
164.52374695419385,-6.308946880695645,1.2465225346159301e-05
180.45375541231755,-6.628121884456684,1.3444468000558082e-05
197.92618661593409,-6.978633597085617,1.4499376360274144e-05
217.09038561605675,-7.363553703938136,1.5630024152853523e-05
238.11015779522984,-7.786251993981528,1.6848229124437334e-05
261.1651689888373,-8.250443974183403,1.8138009743598118e-05
286.45248117312485,-8.760200070847892,1.9545221307541042e-05
314.18823684618803,-9.319981263298732,2.1028284631967226e-05
344.60950649911035,-9.934687233579732,2.2683584252252412e-05
377.97631496846196,-10.609691488264161,2.447940512224757e-05
414.57386399033265,-11.350913893194654,2.637112581366707e-05
454.71496995311946,-12.164853964644617,2.8388744860290384e-05
498.7427376856724,-13.058632774141449,3.05603082012343e-05
547.0334931349296,-14.04009995862448,3.288027057288612e-05
599.9999999999997,-15.117848595240222,3.568442143422936e-05
